"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age Groups","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
30,"NCT00117533","Pegylated Interferon Alfa-2b Plus Ribavirin in Chronic Hepatitis B and Delta","Recruiting","No Results Available","Chronic Hepatitis B|Chronic Hepatitis D","Drug: pegylated IFN alfa-2b plus ribavirin","National Taiwan University Hospital|National Health Research Institutes, Taiwan|National Science Council, Taiwan","Both","Adult|Senior","Phase 4","20","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","930904","June 30, 2005","September 2005","June 2007","May 24, 2006","September 2005","No Study Results Posted","null","null","the efficacy of 24-week pegylated IFN alfa-2b plus RBV for SVR of HDV in patients with dual chronic hepatitis D and B|the efficacy of pegylated IFN alfa-2b plus RBV in patients with dual chronic hepatitis D and B on: The biochemical response rate|The degree of histologic change","https://ClinicalTrials.gov/show/NCT00117533"
31,"NCT00230854","Study in Non-responder Hepatitis C Genotype 1 Patients With EMZ702, Pegylated Interferon and Ribavirin","Completed","No Results Available","Chronic Hepatitis C|Hepatitis, Viral, Human","Drug: EMZ702","Transition Therapeutics","Both","Adult","Phase 1","28","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","IET-202","September 29, 2005","August 2005","July 2007","June 4, 2013","June 2013","No Study Results Posted","null","null","To evaluate the safety and tolerability of repeated intravenous infusions of EMZ702 in combination with pegylated interferon and ribavirin in patients with chronic hepatitis C genotype 1|To evaluate the viral response and pharmacokinetic profile of repeated intravenous infusions of EMZ702 in combination with pegylated interferon and ribavirin in patients with chronic hepatitis C genotype 1","https://ClinicalTrials.gov/show/NCT00230854"
32,"NCT02582632","A Study to Evaluate Ombitasvir/Paritaprevir/Ritonavir and Dasabuvir in Treatment-Naïve Hepatitis C Virus Genotype 1b-Infected Adults","Not yet recruiting","No Results Available","Hepatitis C Infection|Hepatitis C Virus","Drug: Ombitasvir/Paritaprevir/Ritonavir|Drug: dasabuvir","AbbVie","Both","Adult|Senior","Phase 3","160","Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","M15-684|2015-003370-33","October 20, 2015","November 2015","February 2017","October 20, 2015","October 2015","No Study Results Posted","null","November 2016","Percentage of participants who achieve sustained virologic response 12 weeks post-treatment (SVR12)|Percentage of participants with virologic failure during treatment|Percentage of participants with post-treatment relapse|Percentage of female participants who achieve sustained virologic response 12 (SVR12) weeks post-treatment|Percentage of participants with low baseline viral load who achieve sustained virologic response 12 (SVR12) weeks post-treatment","https://ClinicalTrials.gov/show/NCT02582632"
33,"NCT02135666","Evaluation of the Long-term Hepatitis A and B Antibody Persistence in Healthy Adult Subjects, Primed 16 to 20 Years Earlier With GSK Biologicals' Combined Hepatitis A and B Vaccine, Twinrix® (SB208127) in Study HAB-084 (208127/084)","Not yet recruiting","No Results Available","Hepatitis B|Hepatitis A","Procedure: Blood sampling","GlaxoSmithKline","Both","Adult","Phase 4","180","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label","117307|2013-004586-13","May 8, 2014","May 2015","October 2019","December 22, 2014","December 2014","No Study Results Posted","null","October 2019","Immunogenicity with respect to components of the study vaccine in terms of antibody titres|Occurrence of Serious adverse events (SAEs)","https://ClinicalTrials.gov/show/NCT02135666"
34,"NCT00496158","Efficacy and Safety of Clevudine Compared With Adefovir in Patients With Chronic Hepatitis Due to Hepatitis B Virus","Terminated","No Results Available","Chronic Hepatitis|Hepatitis B","Drug: Clevudine|Drug: Adefovir","Pharmasset","Both","Child|Adult|Senior","Phase 3","null","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Primary Purpose: Treatment|Masking: Double-Blind","CI-PSI-5268-06-306","July 2, 2007","August 2007","null","April 23, 2009","April 2009","No Study Results Posted","QUASH2","null","","https://ClinicalTrials.gov/show/NCT00496158"
35,"NCT00635310","Safety Profiles of Liver Biopsy in Hemodialysis Patients With Chronic Viral Hepatitis Pre-treated With Vasopressin","Recruiting","No Results Available","Chronic Hepatitis C|Chronic Hepatitis B|Biopsy|Hemodialysis","Procedure: Percutaneous liver biopsy|Procedure: Percutaneous liver biopsy","National Taiwan University Hospital|National Science Council, Taiwan","Both","Child|Adult|Senior","","3520","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Masking: Open Label","940211","March 5, 2008","January 2005","July 2013","December 19, 2012","December 2012","No Study Results Posted","null","June 2013","Biopsy-related serious hemorrhage rate by intention-to-treat (ITT) analysis|Biopsy-related serious hemorrhage rate by per-protocol (PP) analysis","https://ClinicalTrials.gov/show/NCT00635310"
36,"NCT00289770","Long-term Immune Persistence of GSK Biologicals' Combined Hepatitis A & B Vaccine Injected According to a 0,1,6 Mth Schedule in Healthy Adults","Completed","Has Results","Hepatitis B|Hepatitis A","Biological: Twinrix™","GlaxoSmithKline","Both","Adult|Senior","Phase 3","50","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label","100551 (EXT Y11)|100552 (EXT Y12)|100553 (EXT Y13)|100554 (EXT Y14)|100555 (EXT Y15)","February 9, 2006","November 2004","December 2009","June 26, 2014","November 2011","November 30, 2010","null","December 2009","Number of Subjects With Anti-hepatitis A (Anti-HAV) Antibody Concentrations Equal to or Above Cut-off Value|Number of Subjects With Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentrations Equal to or Above Cut-off Values|Anti-HAV and Anti-HBs Antibody Concentrations|Anti-HBs Antibody Concentrations|Number of Subjects, Receiving an Additional Vaccination of Engerix, With an Anamnestic Response|Number of Subjects With Solicited Local and General Symptoms Assessed|Number of Subjects With Unsolicited Symptoms|Number of Subjects With Serious Adverse Events (SAEs)|Number of Subjects With Serious Adverse Events (SAEs) Determined by the Investigator to Have a Causal Relationship to Primary Vaccination or Due to Lack of Vaccine Efficacy","https://ClinicalTrials.gov/show/NCT00289770"
37,"NCT01939197","A Two Part, Open-label Study to Evaluate the Safety and Effectiveness of ABT-450/r/ABT-267 or ABT-450/r/ABT-267 and ABT-333 Given With or Without a Drug Called Ribavirin in People With Both Hepatitis C Virus Genotype 1 or 4 Infection and Human Immunodeficiency Virus, Type 1 Infection","Recruiting","No Results Available","Hepatitis C Virus Infection|Human Immunodeficiency Virus Infection|Chronic Hepatitis C|Compensated Cirrhosis and Non-cirrhotics","Drug: ABT-450/r/ABT-267|Drug: ABT-333|Drug: Ribavirin (RBV)","AbbVie","Both","Adult|Senior","Phase 3","320","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","M14-004|2012-005143-24","September 6, 2013","August 2013","September 2016","October 3, 2015","October 2015","No Study Results Posted","TURQUOISE-I","July 2016","Percentage of subjects in genotype 1 Analysis Group 1 in Part 2 achieving sustained virologic response 12 weeks post-treatment (SVR12) compared to the historical SVR12 rate for sofosbuvir plus ribavirin as reported in the PHOTON-1 study|The percentage of subjects in genotype 1 Analysis Group 2 of Part 2 achieving sustained virologic response 12 weeks post-treatment (SVR12) compared to the historical rate for sofosbuvir plus ribavirin|The percentage of Part 1a subjects achieving sustained virologic response 12 weeks post-treatment (SVR12) in the 24-week treatment group compared to the 12-week treatment group using Fisher's exact test|The percentage of subjects of Part 1b subjects achieving sustained virologic response 12 weeks post-treatment (SVR12) in the darunavir once-daily arm compared to the darunavir twice-daily arm using Fisher's exact test|The percentage of Part 1b subjects achieving sustained virologic response 12 weeks post-treatment (SVR12)|The percentage of Part 2 GT 1b cirrhotic subjects achieving sustained virologic response 12 weeks post-treatment (SVR12) in Arm F (without ribavirin) compared to Arm G (with ribavirin) using Fisher's exact test|The percentage of genotype 4 subjects in Part 2 achieving sustained virologic response 12 weeks post-treatment (SVR12) by arm and overall|Percentage of subjects with on treatment Hepatitis C Virus virologic failure during the Treatment Period for each arm in Part 1, set of all subjects in Part 1b, the genotype 1 Analysis Group 1 and 2 in Part 2, the GT4 Analysis Group by arm and overall|The percentage of subjects with Hepatitis C Virus post-treatment relapse (analyses performed as described for secondary endpoint 7).|Percentage of subjects with plasma HIV-1 RNA suppression at end of treatment and 12 weeks post-treatment (analyses performed as described for secondary endpoint 7) and comparison of the darunavir once-daily and twice-daily arms in Part 1b","https://ClinicalTrials.gov/show/NCT01939197"
38,"NCT00814606","A Pilot Trial to Determine the Safety and Efficacy of Fluvastatin in Previous Partial Responders to Pegylated Interferon and Ribivirin in Patients With Genotype 1 Hepatitis C","Withdrawn","No Results Available","Hepatitis C|Hepatitis C Virus","Drug: Fluvastatin|Drug: Peginterferon alfa2a|Drug: ribavirin","University of Chicago","Both","Adult","Phase 2","0","Other","Interventional","Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","16336A","December 23, 2008","February 2010","October 2010","June 28, 2013","June 2013","No Study Results Posted","null","October 2010","Efficacy of adding fluvastatin to pegylated interferon alfa-2a and ribavirin in patients infected with genotype 1 HCV who are previous partial responders to standard treatment.|Safety of adding fluvastatin to pegylated interferon alfa-2a and ribavirin in patients infected with genotype 1 HCV who are previous partial responders to standard treatment.","https://ClinicalTrials.gov/show/NCT00814606"
39,"NCT00188240","Insulin Resistance Associated With Chronic Hepatitis C (CHC) and the Effect of Antiviral Therapy","Recruiting","No Results Available","Hepatitis C|Hepatitis B","Drug: Pegasys; Copegus.","University Health Network, Toronto","Both","Adult|Senior","","200","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","03-0510-AE 04-0292-A","September 9, 2005","August 2003","null","November 28, 2005","September 2005","No Study Results Posted","null","null","Phase I - To evaluate the prevalence of insulin resistance in patients with hepatitis C without cirrhosis and compare it to that observed in patients with hepatitis B also without cirrhosis.|Phase II - Interventional phase - To evaluate the effect of anti-viral therapy on insulin resistance, determined by the OGTT method, in patients with hepatitis C found to have insulin resistance pre-treatment.|- To evaluate the safety, efficacy and tolerability of Pegasys (peginterferon alfa-2a) given in combination with Copegus (ribavirin) given for 24 weeks or 48 weeks in treatment naïve patients with chronic hepatitis C (CHC).","https://ClinicalTrials.gov/show/NCT00188240"
40,"NCT00088504","Merimepodib (MMPD) in Triple Combination for the Treatment of Chronic Hepatitis C","Completed","No Results Available","Hepatitis C|Hepatitis","Drug: Merimepodib|Drug: PEG-Interferon-alpha 2a (Pegasys®)|Drug: Ribavirin (Copegus®)","Vertex Pharmaceuticals Incorporated","Both","Adult|Senior","Phase 2","315","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double-Blind","VX03-497-205","July 27, 2004","July 2004","October 2006","December 17, 2007","December 2007","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00088504"
41,"NCT01740089","Algeron (Cepeginterferon Alfa-2b) Compared With PegIntron (Peginterferon Alfa-2b) for Treatment of Chronic Hepatitis C","Completed","Has Results","Hepatitis|Hepatitis C","Drug: Algeron|Drug: PegIntron|Drug: Ribavirin","Biocad","Both","Adult|Senior","Phase 2|Phase 3","150","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","PEG-IFNа-2","November 30, 2012","November 2011","December 2013","July 22, 2015","July 2015","March 1, 2015","null","July 2012","Number of Randomized Patients Achieving Early Virologic Response (EVR) - Negative PCR Result for HCV RNA (< 15 IU/ml) or ≥ 2log10 Decrease of Viral Load After 12 Weeks of Study Treatment.|Number of Randomized Patients Achieving Rapid Virologic Response (RVR) - Negative PCR Result for HCV RNA (< 15 IU/ml) After 4 Weeks of Treatment.|Number of Randomized Patients Achieving Sustained Virologic Response (SVR) - Negative PCR Result for HCV RNA (< 15 IU/ml) 24 Weeks After Last Dose of Study Treatment.|Number of Patients Who Have Undetectable HCV RNA (< 15 IU/ml) at the End of Treatment.","https://ClinicalTrials.gov/show/NCT01740089"
42,"NCT01821794","Tenofovir DF With or Without Peginterferon for Chronic Hepatitis B","Recruiting","No Results Available","Chronic Hepatitis B e Antigen Negative|Chronic Hepatitis B e Antigen Positive","Drug: Peginterferon and Tenofovir","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health Clinical Center (CC)","Both","Adult|Senior","Phase 3","31","NIH","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","130091|13-DK-0091","March 15, 2013","March 2013","December 2021","April 30, 2015","April 2015","No Study Results Posted","null","May 2020","HBsAg loss at the end of 48-weeks post-treatment follow-up (week 240)|ALT normalization|Cumulative HBsAg loss|HBsAg seroconversion|HBeAg loss|ALT corresponding to approx 1.25XULN|HBV DNA & lt; 1000 IU/mL|HBV DNA & lt; 20 IU/m|Absence antiviral drug-resistance HBV mu|Sustained HBV DNA less than 1000 IU/mL|Rate treatment discontinuation due to AE|Rates of AE and SAE|HBV DNA & lt; 1000IU/mL & amp; ALT approx 1.25XULN|Rate of treatment failure","https://ClinicalTrials.gov/show/NCT01821794"
